id,Leave_Next_Month,Gender,Pensioner,Married,Children,Months_with_company,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Type_contract,Paperless_Billing,Payment_Method,Monthly_Payment,Total_Payment
35,0,F,0,Y,Y,72,Y,Y,Fiber optic,Y,Y,N,Y,Y,N,Year-2,N,Bank_transfer_auto,99.9,7251.7
37,0,F,0,N,N,46,Y,N,Fiber optic,N,N,Y,N,N,N,Per_month,Y,Credit_card_auto,74.8,3548.3
38,1,M,0,N,N,34,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Check_electron,106.35,3549.25
43,0,F,0,N,N,63,Y,Y,DSL,Y,Y,Y,Y,Y,N,Year-2,Y,Credit_card_auto,79.85,4861.45
46,0,M,0,N,N,2,Y,N,DSL,N,Y,N,N,N,N,Per_month,N,Check_mailed,49.25,97
49,0,F,0,Y,Y,69,Y,Y,DSL,Y,N,Y,Y,N,N,Year-2,Y,Credit_card_auto,64.15,4254.1
50,0,F,1,N,N,43,Y,Y,Fiber optic,N,Y,N,N,Y,N,Per_month,Y,Check_electron,90.25,3838.75
51,1,F,0,N,N,15,Y,N,Fiber optic,Y,Y,N,N,Y,Y,Per_month,Y,Credit_card_auto,99.1,1426.4
53,1,F,1,Y,N,8,Y,Y,Fiber optic,N,Y,N,N,N,N,Per_month,Y,Credit_card_auto,80.65,633.3
54,0,F,1,Y,Y,60,Y,N,DSL,Y,Y,Y,Y,N,Y,Year-1,Y,Credit_card_auto,74.85,4456.35
56,0,F,0,Y,Y,63,Y,Y,Fiber optic,Y,N,N,N,Y,Y,Year-1,Y,Credit_card_auto,99.65,6311.2
60,0,F,0,Y,N,47,Y,Y,Fiber optic,N,N,Y,N,Y,Y,Per_month,Y,Check_electron,100.5,4707.1
61,0,M,0,N,N,60,Y,Y,Fiber optic,N,Y,N,N,Y,N,Per_month,Y,Bank_transfer_auto,89.9,5450.7
63,0,F,0,Y,Y,18,Y,N,DSL,N,N,Y,Y,N,N,Year-1,Y,Credit_card_auto,54.4,957.1
66,0,M,0,Y,N,47,Y,Y,Fiber optic,N,Y,N,N,N,N,Year-1,Y,Check_electron,78.9,3650.35
67,0,F,0,N,N,31,Y,N,DSL,N,Y,Y,Y,Y,Y,Year-2,N,Check_mailed,79.2,2497.2
68,0,F,0,Y,Y,50,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,20.15,930.9
69,0,M,0,N,N,10,Y,N,Fiber optic,Y,N,Y,N,N,N,Per_month,Y,Check_mailed,79.85,887.35
72,0,M,1,Y,Y,64,Y,Y,Fiber optic,Y,N,Y,Y,Y,Y,Year-2,Y,Bank_transfer_auto,111.6,7099
73,0,M,0,Y,Y,62,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,Y,Bank_transfer_auto,24.25,1424.6
74,0,F,0,N,Y,3,Y,N,DSL,Y,N,N,Y,N,Y,Per_month,Y,Bank_transfer_auto,64.5,177.4
75,0,F,1,N,N,56,Y,Y,Fiber optic,Y,Y,Y,N,Y,Y,Year-1,N,Check_electron,110.5,6139.5
76,0,F,0,N,N,46,Y,N,DSL,N,N,N,N,N,Y,Year-1,N,Credit_card_auto,55.65,2688.85
80,1,F,0,N,Y,1,Y,N,Fiber optic,N,N,N,N,Y,N,Per_month,Y,Check_electron,79.35,79.35
81,0,F,0,Y,Y,11,N,No_phone,DSL,Y,N,N,N,Y,Y,Per_month,N,Check_electron,50.55,565.35
82,1,F,0,Y,N,7,Y,N,Fiber optic,N,N,Y,N,N,N,Per_month,Y,Bank_transfer_auto,75.15,496.9
83,0,F,0,N,N,42,Y,N,Fiber optic,N,Y,Y,Y,Y,Y,Per_month,Y,Bank_transfer_auto,103.8,4327.5
87,0,F,0,Y,Y,48,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,20.65,1057
89,0,M,0,Y,N,29,N,No_phone,DSL,N,N,N,N,Y,N,Per_month,N,Check_mailed,33.75,1009.25
95,1,F,0,N,N,12,Y,Y,Fiber optic,Y,N,N,N,N,N,Per_month,Y,Check_electron,78.95,927.35
96,0,M,0,Y,Y,71,Y,Y,DSL,Y,Y,N,Y,N,N,Year-1,Y,Credit_card_auto,66.85,4748.7
97,1,M,0,N,N,5,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,21.05,113.85
99,1,F,1,Y,N,25,Y,N,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Check_electron,98.5,2514.5
100,0,M,0,N,N,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.2,20.2
102,0,M,0,N,N,38,Y,Y,Fiber optic,N,N,Y,Y,Y,N,Year-1,N,Bank_transfer_auto,95.0,3605.6
103,0,F,1,Y,N,66,N,No_phone,DSL,N,Y,Y,N,Y,N,Year-1,N,Bank_transfer_auto,45.55,3027.25
105,0,M,0,N,N,5,N,No_phone,DSL,N,N,N,N,N,N,Per_month,N,Check_mailed,24.3,100.2
106,0,F,0,Y,Y,72,Y,Y,Fiber optic,Y,Y,N,N,Y,Y,Year-1,Y,Check_electron,104.15,7303.05
108,0,M,0,N,N,43,Y,Y,Fiber optic,N,N,N,N,Y,Y,Year-1,N,Check_mailed,94.35,3921.3
109,0,M,0,Y,Y,72,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Credit_card_auto,19.4,1363.25
111,0,F,0,N,N,52,Y,N,DSL,Y,N,Y,Y,N,N,Year-1,N,Credit_card_auto,57.95,3042.25
113,1,F,1,Y,N,37,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,76.5,2868.15
115,0,M,0,Y,Y,3,Y,N,Fiber optic,Y,Y,N,N,Y,N,Per_month,N,Check_electron,89.85,248.4
120,0,F,0,Y,Y,56,Y,Y,Fiber optic,N,N,Y,N,Y,Y,Year-1,Y,Credit_card_auto,99.8,5515.45
121,0,F,0,N,N,6,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.7,112.75
122,1,M,0,N,N,3,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,74.4,229.55
123,0,F,0,Y,Y,7,Y,N,DSL,Y,N,N,N,N,N,Per_month,N,Check_mailed,50.7,350.35
124,0,F,0,Y,Y,4,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.85,62.9
125,0,M,0,N,N,33,Y,N,Fiber optic,Y,N,N,Y,Y,N,Year-2,Y,Check_electron,88.95,3027.65
126,1,F,1,N,N,27,Y,Y,Fiber optic,N,N,Y,N,N,N,Per_month,Y,Check_electron,78.05,2135.5
129,0,M,1,N,N,71,N,No_phone,DSL,Y,Y,N,N,Y,Y,Year-1,Y,Check_electron,56.45,3985.35
134,1,M,0,N,N,2,Y,N,DSL,N,N,N,N,N,N,Per_month,N,Check_electron,44.35,81.25
140,0,F,1,Y,Y,72,Y,Y,DSL,Y,Y,Y,Y,Y,Y,Year-2,Y,Credit_card_auto,88.05,6425.65
142,0,F,0,Y,N,61,Y,Y,Fiber optic,N,Y,N,N,Y,Y,Year-2,Y,Bank_transfer_auto,101.05,5971.25
143,0,M,0,N,N,64,Y,Y,Fiber optic,Y,Y,N,N,N,N,Year-1,Y,Credit_card_auto,84.3,5289.05
146,0,M,0,N,N,3,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_mailed,19.6,61.35
149,0,M,0,Y,Y,15,Y,N,DSL,N,Y,Y,Y,N,Y,Per_month,Y,Check_mailed,69.5,1071.4
150,0,F,0,Y,Y,8,Y,N,DSL,N,N,N,Y,Y,Y,Per_month,Y,Check_electron,68.55,564.35
151,1,M,0,N,N,7,Y,Y,Fiber optic,N,N,N,N,Y,Y,Per_month,N,Check_mailed,95.0,655.5
152,0,F,0,Y,Y,70,Y,Y,Fiber optic,Y,Y,Y,N,Y,Y,Year-1,Y,Credit_card_auto,108.15,7930.55
155,0,F,0,Y,Y,14,Y,N,Fiber optic,N,N,N,N,N,Y,Per_month,Y,Bank_transfer_auto,80.9,1152.8
157,0,M,0,Y,Y,22,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_mailed,20.15,419.9
159,0,M,0,N,N,10,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,25.7,251.6
161,1,F,0,Y,N,20,Y,Y,Fiber optic,Y,N,N,N,N,N,Per_month,N,Check_electron,82.4,1592.35
162,0,F,0,N,N,2,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,69.7,135.2
163,0,M,0,N,N,53,Y,Y,DSL,N,Y,Y,Y,N,Y,Year-2,Y,Bank_transfer_auto,73.9,3958.25
165,0,M,0,Y,N,69,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Check_mailed,19.9,1363.45
169,0,F,0,Y,Y,16,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_electron,20.4,321.4
173,1,F,0,Y,N,53,Y,N,Fiber optic,N,N,Y,N,Y,Y,Year-1,Y,Bank_transfer_auto,94.85,5000.2
175,0,F,0,Y,N,34,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_electron,24.7,780.2
177,1,F,1,N,N,7,Y,N,Fiber optic,Y,N,N,N,N,N,Per_month,N,Bank_transfer_auto,76.45,503.6
178,0,F,0,Y,Y,15,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Bank_transfer_auto,105.35,1559.25
180,1,F,0,N,N,1,N,No_phone,DSL,N,Y,N,N,N,N,Per_month,N,Bank_transfer_auto,29.95,29.95
182,1,M,0,N,N,8,Y,Y,Fiber optic,N,N,N,N,N,Y,Per_month,N,Bank_transfer_auto,84.5,662.65
183,0,M,0,Y,Y,33,Y,N,DSL,Y,N,Y,N,Y,Y,Year-1,N,Credit_card_auto,74.75,2453.3
185,1,F,0,Y,N,1,N,No_phone,DSL,N,N,N,N,N,N,Per_month,Y,Check_electron,24.8,24.8
187,0,M,0,N,N,3,N,No_phone,DSL,N,N,N,Y,N,N,Per_month,N,Check_electron,30.4,82.15
188,0,F,0,N,N,13,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_electron,19.65,244.8
189,0,F,0,Y,N,40,Y,Y,DSL,N,Y,N,N,N,N,Per_month,N,Credit_card_auto,56.6,2379.1
191,1,M,0,Y,N,6,Y,N,Fiber optic,N,Y,Y,N,N,Y,Per_month,Y,Check_electron,91.0,531
196,0,M,0,Y,Y,24,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,Y,Bank_transfer_auto,24.1,587.4
197,0,M,0,N,N,59,Y,Y,Fiber optic,N,Y,Y,Y,Y,Y,Per_month,Y,Check_electron,111.35,6519.75
200,0,F,0,Y,N,27,Y,N,Fiber optic,Y,N,N,Y,Y,Y,Year-1,Y,Credit_card_auto,101.9,2681.15
202,0,M,0,Y,Y,71,Y,Y,Fiber optic,Y,N,Y,N,Y,Y,Year-2,N,Check_electron,105.55,7405.5
203,0,M,0,N,Y,13,Y,N,Fiber optic,N,N,N,N,Y,N,Per_month,Y,Credit_card_auto,78.3,1033.95
204,0,M,0,N,N,44,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,N,Credit_card_auto,68.85,2958.95
205,0,F,0,N,N,33,Y,N,Fiber optic,N,Y,N,Y,N,N,Year-1,Y,Bank_transfer_auto,79.95,2684.85
207,1,M,0,N,N,1,Y,N,Fiber optic,N,N,N,N,N,Y,Per_month,N,Check_electron,79.9,79.9
208,1,F,0,N,N,19,Y,N,Fiber optic,Y,N,Y,Y,Y,Y,Per_month,Y,Check_electron,106.6,1934.45
209,0,M,0,Y,N,64,Y,N,Fiber optic,N,Y,Y,Y,Y,Y,Year-1,Y,Credit_card_auto,102.45,6654.1
211,0,F,0,N,N,1,N,No_phone,DSL,N,N,N,N,N,N,Per_month,N,Check_electron,25.25,25.25
214,0,M,1,Y,N,23,Y,Y,Fiber optic,N,N,N,N,N,Y,Per_month,N,Check_electron,86.8,1975.85
216,0,M,0,Y,Y,72,N,No_phone,DSL,Y,Y,Y,Y,N,N,Year-2,N,Credit_card_auto,45.25,3139.8
218,0,M,0,Y,Y,65,Y,Y,DSL,N,Y,Y,Y,Y,Y,Year-2,Y,Bank_transfer_auto,84.2,5324.5
219,0,F,0,N,N,8,Y,N,Fiber optic,N,N,N,N,Y,N,Per_month,Y,Bank_transfer_auto,80.0,624.6
221,0,F,0,Y,N,71,Y,Y,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,24.75,1836.9
222,0,M,0,Y,Y,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,Y,Check_electron,20.2,20.2
223,1,M,0,Y,N,4,Y,N,DSL,N,N,N,Y,N,N,Per_month,N,Check_mailed,50.05,179.35
224,0,F,0,N,N,12,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,Y,Bank_transfer_auto,19.35,219.35
226,0,F,0,Y,Y,31,Y,N,DSL,Y,N,Y,Y,Y,Y,Year-1,Y,Check_mailed,81.15,2545.75
227,1,F,0,Y,N,1,Y,N,DSL,N,N,N,N,Y,N,Per_month,N,Check_mailed,55.2,55.2
229,0,F,0,Y,Y,47,Y,Y,DSL,Y,Y,N,Y,Y,Y,Year-2,Y,Credit_card_auto,85.3,4107.25
230,0,M,0,N,N,54,Y,Y,Fiber optic,Y,Y,N,Y,Y,Y,Year-2,Y,Credit_card_auto,108.0,5760.65
231,0,M,0,N,N,50,Y,N,Fiber optic,Y,Y,N,Y,N,Y,Per_month,Y,Credit_card_auto,93.5,4747.5
232,1,M,0,N,N,1,Y,N,Fiber optic,Y,N,N,N,N,Y,Per_month,Y,Check_mailed,84.6,84.6
233,0,F,0,N,N,72,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Credit_card_auto,20.25,1566.9
236,0,F,0,N,N,10,N,No_phone,DSL,N,N,N,Y,N,N,Year-2,Y,Check_mailed,29.6,299.05
239,0,M,0,N,N,16,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Check_mailed,19.75,284.35
240,0,F,0,N,N,72,Y,Y,DSL,N,Y,Y,Y,Y,Y,Year-2,N,Bank_transfer_auto,86.6,6350.5
241,0,M,0,N,N,72,Y,Y,Fiber optic,N,Y,Y,Y,Y,Y,Year-2,N,Bank_transfer_auto,109.2,7878.3
242,0,F,0,Y,Y,41,Y,N,DSL,Y,N,N,Y,Y,Y,Year-1,Y,Credit_card_auto,74.7,3187.65
243,0,F,1,Y,N,65,Y,N,Fiber optic,Y,Y,Y,N,N,Y,Per_month,N,Check_electron,94.4,6126.15
244,0,F,1,N,N,13,Y,N,DSL,N,Y,Y,N,N,N,Per_month,Y,Check_electron,54.8,731.3
245,0,M,1,N,N,4,Y,N,Fiber optic,Y,N,N,N,N,N,Per_month,N,Check_electron,75.35,273.4
246,0,M,0,N,N,41,Y,Y,DSL,N,N,Y,N,N,Y,Year-1,N,Check_mailed,65.0,2531.8
247,1,M,1,N,N,15,Y,N,Fiber optic,N,Y,N,N,N,N,Per_month,Y,Check_electron,74.4,1074.3
249,0,M,0,N,N,42,Y,Y,Fiber optic,Y,Y,Y,N,N,Y,Year-1,Y,Check_electron,99.0,4298.45
250,0,F,0,Y,N,51,Y,N,Fiber optic,Y,Y,Y,N,Y,N,Year-1,Y,Check_electron,93.5,4619.55
252,1,M,1,Y,N,1,N,No_phone,DSL,N,Y,N,N,Y,N,Per_month,N,Check_electron,40.2,40.2
253,0,M,0,N,Y,32,Y,Y,DSL,N,Y,Y,Y,Y,Y,Year-1,N,Credit_card_auto,83.7,2633.3
255,0,F,0,Y,Y,67,N,No_phone,DSL,N,Y,Y,Y,Y,Y,Year-2,Y,Check_electron,59.55,4103.9
258,1,F,0,Y,N,2,Y,N,DSL,N,N,N,N,N,N,Per_month,Y,Credit_card_auto,44.6,80.55
259,0,F,1,Y,N,29,N,No_phone,DSL,Y,N,Y,N,N,Y,Per_month,Y,Check_electron,45.0,1228.65
262,0,M,1,Y,N,57,Y,Y,Fiber optic,N,Y,N,N,N,Y,Per_month,Y,Check_electron,89.85,4925.35
264,0,F,0,Y,N,45,Y,Y,Fiber optic,Y,Y,Y,Y,Y,Y,Year-1,N,Check_mailed,113.3,5032.25
267,0,F,1,N,N,19,Y,N,Fiber optic,Y,Y,N,Y,Y,Y,Per_month,Y,Check_mailed,105.0,2007.25
268,1,M,0,N,N,59,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Check_mailed,19.35,1099.6
270,1,F,1,N,N,16,Y,N,Fiber optic,N,N,N,Y,Y,Y,Per_month,Y,Check_electron,94.45,1511.2
271,0,M,0,Y,N,57,Y,N,DSL,Y,Y,N,Y,N,N,Year-2,Y,Check_electron,59.75,3450.15
273,0,M,1,Y,N,20,Y,Y,Fiber optic,N,Y,N,Y,Y,Y,Per_month,N,Check_electron,107.05,2172.05
276,1,F,0,Y,N,52,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Check_electron,105.05,5624.85
277,0,M,1,Y,N,21,Y,N,DSL,Y,Y,N,N,N,Y,Per_month,Y,Bank_transfer_auto,64.95,1339.8
278,0,M,0,N,N,14,N,No_phone,DSL,N,N,Y,Y,Y,Y,Per_month,Y,Check_electron,55.0,771.95
279,0,F,0,N,N,5,Y,N,DSL,N,Y,N,N,N,N,Per_month,N,Bank_transfer_auto,50.55,244.75
280,0,F,0,N,N,6,Y,N,DSL,Y,Y,N,N,N,N,Per_month,N,Check_mailed,55.15,322.9
281,0,F,0,N,N,10,Y,N,DSL,N,Y,N,N,N,N,Per_month,N,Check_electron,51.2,498.25
284,1,M,0,Y,Y,18,Y,N,Fiber optic,N,N,Y,N,Y,Y,Per_month,N,Check_mailed,95.15,1779.95
285,0,F,0,N,N,22,Y,Y,Fiber optic,N,N,N,N,N,N,Year-1,Y,Credit_card_auto,76.0,1783.6
286,0,F,0,N,N,20,Y,N,DSL,N,N,N,N,N,N,Per_month,Y,Check_electron,44.35,927.15
289,1,M,0,N,N,10,Y,N,DSL,N,N,N,N,N,N,Per_month,Y,Credit_card_auto,44.85,435.4
291,0,M,0,N,N,35,Y,N,DSL,Y,Y,Y,N,N,N,Year-1,N,Check_mailed,61.2,2021.2
292,0,M,0,Y,Y,23,Y,N,Fiber optic,N,Y,Y,Y,N,N,Year-1,N,Check_mailed,86.8,1940.8
295,0,M,0,N,N,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.25,20.25
296,0,F,0,Y,Y,71,Y,N,Fiber optic,N,N,Y,N,N,N,Year-2,N,Check_electron,76.05,5436.45
297,0,M,1,Y,N,35,Y,Y,Fiber optic,N,N,Y,N,Y,Y,Per_month,Y,Check_electron,100.8,3437.5
301,1,F,1,N,N,4,Y,Y,Fiber optic,N,N,N,N,Y,Y,Per_month,Y,Check_electron,95.45,396.1
306,1,M,1,Y,N,32,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,74.9,2303.35
309,0,M,0,N,Y,48,Y,Y,DSL,Y,N,Y,N,Y,Y,Year-1,Y,Credit_card_auto,78.75,3682.45
311,0,F,0,N,N,22,Y,N,Fiber optic,Y,N,N,Y,N,Y,Per_month,Y,Check_electron,89.05,1886.25
312,0,F,0,N,N,43,Y,Y,Fiber optic,Y,Y,Y,Y,Y,Y,Year-2,N,Credit_card_auto,115.05,4895.1
313,0,F,1,Y,N,5,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,69.35,341.6
316,0,M,0,N,N,71,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,Y,Credit_card_auto,19.9,1355.1
317,1,F,0,Y,Y,38,Y,N,DSL,Y,Y,N,Y,Y,Y,Year-1,N,Credit_card_auto,80.3,3058.65
318,1,M,1,Y,N,24,Y,N,Fiber optic,N,N,Y,N,Y,Y,Per_month,Y,Check_electron,93.15,2231.05
325,0,F,0,Y,N,52,Y,Y,Fiber optic,N,Y,N,Y,Y,Y,Per_month,Y,Credit_card_auto,102.7,5138.1
327,1,F,1,N,N,2,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,70.35,139.05
328,0,F,1,Y,Y,28,N,No_phone,DSL,N,N,N,N,Y,N,Per_month,Y,Check_electron,35.9,973.65
330,0,F,0,Y,Y,35,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,Y,Check_mailed,19.85,739.35
331,0,F,0,N,N,8,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,Y,Check_mailed,19.2,161.95
332,0,M,0,N,N,46,Y,Y,Fiber optic,N,Y,Y,N,Y,N,Year-1,Y,Credit_card_auto,94.9,4422.95
333,1,F,0,N,N,7,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,73.85,511.25
334,1,F,0,N,N,2,Y,Y,Fiber optic,N,N,Y,N,N,N,Per_month,N,Check_mailed,80.6,155.8
336,1,F,0,N,N,43,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Year-2,Y,Check_electron,104.6,4759.85
338,0,F,0,N,N,36,Y,N,Fiber optic,N,Y,N,N,Y,Y,Per_month,Y,Credit_card_auto,94.8,3565.65
339,1,M,0,Y,N,63,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Check_electron,103.4,6603
345,0,F,1,N,N,1,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,72.1,72.1
346,1,F,0,N,N,2,Y,N,Fiber optic,N,N,N,N,Y,Y,Per_month,Y,Check_electron,90.4,168.2
347,0,F,0,Y,N,70,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,19.45,1303.5
348,0,F,0,N,N,23,N,No_phone,DSL,N,N,N,N,Y,Y,Per_month,Y,Check_electron,44.95,996.85
349,0,F,1,Y,N,64,Y,N,Fiber optic,Y,Y,Y,N,N,Y,Year-1,N,Bank_transfer_auto,97.0,6430.9
350,0,M,0,Y,Y,37,Y,Y,DSL,Y,N,Y,Y,N,N,Year-2,Y,Credit_card_auto,62.8,2278.75
352,0,F,1,N,N,7,Y,N,Fiber optic,N,N,N,N,Y,Y,Per_month,Y,Check_electron,89.15,574.35
355,1,F,0,N,N,10,Y,N,Fiber optic,N,N,N,N,N,Y,Per_month,Y,Bank_transfer_auto,80.25,846
356,0,F,1,N,N,16,Y,Y,DSL,Y,N,N,N,N,N,Per_month,Y,Check_electron,54.1,889
357,0,M,0,Y,N,64,Y,Y,Fiber optic,N,Y,N,Y,Y,Y,Year-2,Y,Check_electron,105.25,6823.4
358,1,M,1,Y,N,27,N,No_phone,DSL,Y,N,N,N,N,N,Per_month,N,Credit_card_auto,30.75,805.1
360,0,M,0,N,Y,5,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.2,83.75
362,0,M,0,Y,N,58,Y,N,DSL,N,N,Y,N,N,N,Year-1,N,Credit_card_auto,50.3,2878.55
366,0,M,0,Y,N,23,Y,N,DSL,Y,N,N,N,N,Y,Per_month,Y,Bank_transfer_auto,59.95,1406
367,0,F,0,N,N,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,19.15,19.15
368,0,M,0,Y,N,71,Y,Y,Fiber optic,N,N,Y,N,Y,Y,Year-1,Y,Credit_card_auto,98.65,6962.85
370,0,M,0,Y,Y,33,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_mailed,20.6,690.25
371,1,M,0,N,N,2,Y,Y,Fiber optic,N,N,N,N,Y,N,Per_month,Y,Check_electron,85.65,181.5
372,0,M,0,N,Y,24,N,No_phone,DSL,Y,N,N,Y,N,N,Year-2,N,Check_mailed,35.75,830.8
373,0,F,0,Y,Y,56,Y,Y,Fiber optic,N,Y,Y,Y,N,Y,Year-1,Y,Credit_card_auto,99.75,5608.4
374,0,M,0,N,N,37,Y,N,Fiber optic,N,Y,N,N,Y,Y,Per_month,Y,Credit_card_auto,96.1,3646.8
377,1,F,0,Y,N,25,Y,Y,Fiber optic,N,N,Y,Y,Y,Y,Per_month,Y,Bank_transfer_auto,104.95,2566.5
378,0,F,0,N,N,61,Y,Y,DSL,Y,Y,Y,Y,Y,Y,Year-2,N,Check_electron,89.65,5308.7
382,0,M,1,Y,Y,72,N,No_phone,DSL,Y,Y,Y,Y,Y,Y,Year-2,Y,Bank_transfer_auto,64.8,4732.35
384,0,M,0,N,N,48,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Year-2,Y,Bank_transfer_auto,108.1,5067.45
